"word"	" definition"	" concepts"			
"thick"	"hard to pass through because of dense growth"	"vegetation wood thick dense"			
"thick"	"(of darkness) very intense"	"face night thick darkness shadow"			
"thick"	"(used informally) associated on close terms"	"bartender customer month friend thief"			
"thick"	"(used informally) stupid"				
"thick"	"abounding; having a lot of"	"top dust"			
"dead"	"no longer having or seeming to have or expecting to have life"	"man assassin pallor nerve"			
"dead"	"not showing characteristics of life especially the capacity to sustain life; no longer exerting force or having energy or heat"	"Mars planet fire coal soil"			
"dead"	"very tired"	"end day exercise trip"			
"dead"	"unerringly accurate"	"aim shot"			
"dead"	"physically inactive"	"Lake Crater Cascade crater Range volcano"			
"dead"	"(followed by `to') not showing human feeling or sensitivity; unresponsive"	"help plea passersby mercy numb cry"			
"dead"	"devoid of physical sensation; numb"	"discomfort television dentist coverage gum atrocity tooth novocain"			
"dead"	"lacking acoustic resonance"	"studio recording surface wall disc"			
"dead"	"not yielding a return"	"fund capital"			
"dead"	"not circulating or flowing"	"water air"			
"dead"	"not surviving in active use"	"Latin language"			
"dead"	"lacking resilience or bounce"	"tennis ball"			
"dead"	"out of use or operation because of a fault or breakdown"	"telephone motor line"			
"dead"	"no longer having force or relevance"	"issue"			
"dead"	"complete"	"seriousness stop"			
"dead"	"drained of electric charge; discharged"	"light battery"			
"dead"	"devoid of activity; nothing ever happens here"""	"town"			
"cold"	"having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration"	"climate beer room dinner finger heat"			
"cold"	"extended meanings; especially of psychological coldness; without human warmth or emotion"	"nod manner logic person concert"			
"cold"	"having lost freshness through passage of time"	"scent trail dog"			
"cold"	"(color) giving no sensation of warmth"	"bluish grey"			
"cold"	"marked by errorless familiarity"	"line rehearsal"			
"cold"	"lacking originality or spontaneity; no longer new"	"theory race news"			
"cold"	"so intense as to be almost uncontrollable"	"fury"			
"cold"	"sexually unresponsive"	"advance woman"			
"cold"	"without compunction or human feeling"	"destruction killing blood insensate"			
"cold"	"feeling or showing no enthusiasm"	"audience response play"			
"cold"	"unconscious from a blow or shock or intoxication"	"boxer cold pas"			
"cold"	"of a seeker; far from the object sought"				
"cold"	"lacking the warmth of life"	"cold grave"			
"tired"	"depleted of strength or energy"	"baby mother"			
"tired"	"repeated too often; overfamiliar through overuse"	"threadbare commonplace remark answer joke metaphor stock phrase axiom `hard nail sermon"			
"soft"	"yielding readily to pressure or weight"				
"soft"	"compassionate and kind; conciliatory"	"child"			
"soft"	"(of sound) relatively low in volume"	"voice music"			
"soft"	"easily hurt"	"delicate skin hand baby"			
"soft"	"produced with vibration of the vocal cords; "	"`g opinion `z consonant `b"			
"soft"	"not protected against attack (especially by nuclear weapons)"	"target"			
"soft"	"used chiefly as a direction or description in music"	"passage piano composition"			
"soft"	"(of light) transmitted from a broad light source or reflected"				
"soft"	"(of speech sounds); produced with the back of the tongue raised toward the hard palate; characterized by a hissing or hushing sound (as `s' and `sh')"				
"soft"	"(of a commodity or market or currency) falling or likely to fall in value"	"computer market"			
"soft"	"using evidence not readily amenable to experimental verification or refutation"	"data science"			
"soft"	"tolerant or lenient"	"parent indulgent child crime"			
"soft"	"soft and mild; not harsh or stern or severe"	"irony vein reprimand fun"			
"soft"	"having little impact"	"breeze pat light shoulder tapping window rain"			
"soft"	"out of condition; not strong or robust; incapable of exertion or endurance"	"cheek flabby army middle flaccid"			
"soft"	"willing to negotiate and compromise"				
"soft"	"not burdensome or demanding; borne or done easily and without hardship"	"job life parttime consultant"			
"soft"	"mild and pleasant"	"night climate growth breeze balmy life day"			
"soft"	"not brilliant or glaring"	"shadow pastel moon color"			
"smooth"	"having a surface free from roughness or bumps or ridges or irregularities"	"road mirror water fabric tabletop skin"			
"smooth"	"smoothly agreeable and courteous with a degree of sophistication"	"error customer apology manager personage"			
"smooth"	"of the margin of a leaf shape; not broken up into teeth"				
"smooth"	"smooth and unconstrained in movement"	"motion cat grace stride ballerina"			
"smooth"	"(music) without breaks between notes; smooth and connected"	"passage"			
"smooth"	"of motion that runs or flows or proceeds without jolts or turbulence"	"ride"			
"smooth"	"lacking obstructions or difficulties"	"legislature path bill"			
"smooth"	"(of a body of water) free from disturbance by heavy waves"	"ribbon blue lake sky sand lagoon crossing ripple water sea placid channel bay"			
"crossed"	"placed crosswise"	"face fork arm finger"			
"crossed"	"(of a check) marked for deposit only as indicated by having two lines drawn across it"				
"thin"	"of relatively small extent from one surface to the opposite or in cross section"	"layer chiffon wire blouse paint book"			
"thin"	"lacking excess flesh"	"Cassius look -Shakespeare Yon"			
"thin"	"very narrow"	"page line"			
"thin"	"not dense"	"beard tree"			
"thin"	"relatively thin in consistency or low in density; not viscous"	"milk altitude oil soup air"			
"thin"	"(of sound) lacking resonance or volume"	"cry"			
"thin"	"lacking spirit or sincere effort"	"smile"			
"thin"	"lacking substance or significance; a fragile claim to fame"""	"argument plot evidence"			
"electric"	"using or providing or producing or transmitting or operated by electricity"	"storm appliance wiring"			
"electric"	"(of a situation) exceptionally tense"	"suspicion"			
"electric"	"affected by emotion as if by electricity; thrilling"	"effect leader reading play morale"			
"inflexible"	"incapable of change"	"man purpose"			
"inflexible"	"not making concessions"	"stance talk peace honesty"			
"inflexible"	"resistant to being bent; "	"bar blade iron knife"			
"inflexible"	"incapable of adapting or changing to meet circumstances"	"unbending disciplinarian law"			
"slight"	"(quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with `a') at least some"	"money time May chance hope rain"			
"slight"	"lacking substance or significance; a fragile claim to fame"""	"argument plot evidence"			
"slight"	"being of delicate or slender build"	"hair figure Norris street shoot girl slender blonde Frank"			
"dynamic"	"characterized by action or forcefulness or force of personality"	"president firm speaker market"			
"dynamic"	"of or relating to dynamics"				
"dynamic"	"(used of verbs (e.g. `to run') and participial adjectives (e.g. `running' in `running water')) expressing action rather than a state of being"				
"true"	"consistent with fact or reality; not false"	"statement B. Russell story ground meaning proposition"			
"true"	"accurately placed or thrown"	"aim target"			
"true"	"devoted (sometimes fanatically) to a cause or concept or truth"	"believer"			
"true"	"expressing or given to expressing the truth"	"statement person testimony"			
"true"	"conforming to definitive criteria"	"Pythagoras crab mathematician horseshoe"			
"true"	"worthy of being depended on"	"information worker honest word sourcSFLe stiff"			
"true"	"not pretended; sincerely felt or expressed"	"emotion grief interest people"			
"true"	"rightly so called"	"courage friend men spirit"			
"true"	"determined with reference to the earth's axis rather than the magnetic poles"	"north"			
"true"	"having a legally established claim"	"king heir"			
"true"	"in tune; accurate in pitch"	"note"			
"true"	"accurately fitted; level"	"window frame"			
"cool"	"neither warm nor very cold; giving relief from heat"	"breeze dress room drink cool summer autumn day"			
"cool"	"marked by calm self-control (especially in trying circumstances); unemotional"	"winner crisis history cool tournament"			
"cool"	"(color) inducing the impression of coolness; used especially of greens and blues and violets"	"cool violet blue green"			
"cool"	"psychologically cool and unenthusiastic; unfriendly or unresponsive or showing dislike"	"relation tax cool reception idea"			
"cool"	"(used of a number or sum) without exaggeration or qualification"	"buck"			
"cool"	"fashionable and attractive at the time; often skilled or socially adept"	"dress party dude Mary"			
"heroic"	"very imposing or impressive; surpassing the ordinary (especially in size or scale)"	"epic voyage proportion sculpture heroic"			
"heroic"	"relating to or characteristic of heroes of antiquity"	"legend heroic age"			
"heroic"	"having or displaying qualities appropriate for heroes"	"heroic beach Normandy explorer attack"			
"heroic"	"of behavior that is impressive and ambitious in scale or scope"	"manner undertaking heroic lifestyle scale"			
"heroic"	"showing extreme courage; especially of actions courageously undertaken in desperation as a last resort"	"Pacific task G.C.Marshall point heroic gallantry life climber attempt measure force war"			
"monumental"	"relating or belonging to or serving as a monument"	"sculpture use architecture arch"			
"monumental"	"of outstanding significance"	"contribution physic Einstein"			
"monumental"	"imposing in size or bulk or solidity"	"door architecture proportion oak sculpture Stalinist scale Moore"			
"astronomical"	"relating or belonging to the science of astronomy"	"telescope"			
"astronomical"	"inconceivably large"				
"parasitic"	"relating to or caused by parasites"	"infection"			
"parasitic"	"of or pertaining to epenthesis"				
"parasitic"	"of plants or persons; having the nature or habits of a parasite or leech; living off another"	"labor indolent leechlike class mass existence vine tree blackmailer"			
"extensive"	"large in spatial extent or range or scope or quantity"	"surgeon land Roman settlement damage farm experience England"			
"extensive"	"broad in scope or content"	"invention application power study sanction blanket violator definition human-rights nationality T.G.Winner pay increase"			
"extensive"	"of agriculture; increasing productivity by using large areas with minimal outlay and labor"	"type agriculture wheat condition"			
"nice"	"pleasant or pleasing or agreeable in nature or appearance"	"face Meredith manner dress tomato George time fellow party today day corn"			
"nice"	"socially or conventionally correct; refined or virtuous"	"family girl"			
"nice"	"done with delicacy and skill"	"job bit craft micrometer shot measurement"			
"nice"	"excessively fastidious and easily disgusted"	"handle elbow cooking toilet food"			
"nice"	"exhibiting courtesy and politeness"	"gesture"			
"vague"	"not clearly understood or expressed"	"description Locke turn battle John form science spirit behavior phrase become impulse vague dull speech P.A.Sorokin Broyard mystery"			
"vague"	"not precisely limited"	" determined"	" or distinguished"	"sense sadness feeling term excitement uneasiness authority"	
"vague"	"lacking clarity or distinctness"	"faint figure gloom outline wispy childhood building shadowy recollection memory fog distance"			
"unstable"	"lacking stability or fixity or firmness"	"condition world tower wind economy"			
"unstable"	"highly or violently reactive"	"compound"			
"unstable"	"affording no ease or reassurance"	"truce"			
"unstable"	"suffering from severe mental illness"	"mind"			
"unstable"	"disposed to psychological variability"	"conviction"			
"unstable"	"subject to change; variable"	"fraught coup uncertainty situation everything"			
"tragic"	"very sad; especially involving grief or death or destruction"	"face accident plight"			
"tragic"	"of or relating to or characteristic of tragedy"	"hero"			
"parallel"	"being everywhere equidistant and not intersecting"	"row line circle dancer"			
"parallel"	"of or relating to the simultaneous performance of multiple operations"	"processing parallel"			
"creative"	"having the ability or power to create"	"imagination"			
"creative"	"promoting construction or creation"	"work"			
"formal"	"being in accord with established forms and conventions and requirements (as e.g. of formal dress)"	"respect dress education ball requirement"			
"formal"	"characteristic of or befitting a person in authority"	"duty banquet"			
"formal"	"(of spoken and written language) adhering to traditional standards of correctness and without casual"	" contracted"	" and colloquial forms"	"English paper"	
"formal"	"represented in simplified or symbolic form"				
"formal"	"logically deductive"	"proof"			
"formal"	"refined or imposing in manner or appearance; befitting a royal court"	"gentleman"			
"revealing"	"disclosing unintentionally"	"boat telling panel smile light oil patch water"			
"revealing"	"showing or making known"	"dress"			
"inner"	"located inward"	"sense battle Denby David life access A.R.Gurney Beethoven manuscript rightousness bloody record truth Leonard Jr Bernstein soul"			
"inner"	"located or occurring within or closer to a center"	"room"			
"inner"	"innermost or essential"	"contradiction matter logic structure Cubism theory"			
"inner"	"confined to an exclusive group"	"knowledge privy information"			
"inner"	"exclusive to a center; especially a center of influence"	"circle organization region government"			
"inner"	"inside or closer to the inside of the body"	"ear"			
"familiar"	"well known or easily recognized"	"song guest figure"			
"familiar"	"within normal everyday experience; common and ordinary; not strange"	"home scene duty experience excuse object day"			
"familiar"	"(usually followed by `with') well informed about or knowing thoroughly"	"trend road conversant machinery business"			
"familiar"	"having mutual interests or affections; of established friendship"	"term slander footing intimate"			
"poor"	"deserving or inciting pity"	"limb Galsworthy help victim homeless room child fate thing life appeal hapless shabby war"			
"poor"	"having little money or few possessions"	"living country artist gap garret"			
"poor"	"characterized by or indicating poverty"	"section country economy town"			
"poor"	"lacking in specific resources"	" qualities or substances"	"timber land area value coal food"		
"poor"	"not sufficient to meet a need"	"salary money supply income ration experience food"			
"poor"	"unsatisfactory"	"light morale expectation"			
"closest"	"at or within a short distance in space or time or having elements near each other"	"town ship formation noon"			
"closest"	"close in relevance or relationship"	"family resemblance sympathy kin"			
"closest"	"not far distant in time or space or degree or circumstances"	"tear future approach neighbor success thing bomb call equal hit"			
"closest"	"rigorously attentive; strict and thorough"	"watch expenditure study attention supervision close"			
"closest"	"marked by fidelity to an original"	"translation rendering fact copy portrait"			
"closest"	"(of a contest or contestants) evenly matched"	"game contest election"			
"closest"	"crowded"	"quarter"			
"closest"	"lacking fresh air"	"smoke atmosphere air airless"			
"closest"	"of textiles"	"weave close percale"			
"closest"	"strictly confined or guarded"	"custody"			
"closest"	"confined to specific persons"	"secret close"			
"closest"	"fitting closely but comfortably"	"fit"			
"closest"	"used of hair or haircuts"	"haircut"			
"closest"	"giving or spending with reluctance"	"man administration money"			
"closest"	"inclined to secrecy or reticence about divulging information"	"friend"			
"weak"	"wanting in physical strength"	"pillar"			
"weak"	"overly diluted; thin and insipid"	"watery coffee milk tea"			
"weak"	"(used of vowels or syllables) pronounced with little or no stress"	"vowel stress"			
"weak"	"wanting in moral strength"	" courage"	" or will; having the attributes of man as opposed to e.g. divine beings"	"humanity frail human"	
"weak"	"tending downward in price"	"stock market oil"			
"weak"	"deficient or lacking in some skill"				
"weak"	"lacking bodily or muscular strength or vitality"	"body woman"			
"weak"	"(used of verbs) having standard (or regular) inflection"				
"weak"	"not having authority"	" political strength"	" or governing power"	"president"	
"weak"	"deficient in magnitude; barely perceptible; lacking clarity or brightness or loudness etc"	"faint pulse aroma outline hissing sound light wan color shadow candle sun"			
"weak"	"likely to fail under stress or pressure"	"link chain"			
"weak"	"deficient in intelligence or mental power"	"mind"			
"masculine"	"of grammatical gender"				
"masculine"	"associated with men and not with women"				
"masculine"	"(music or poetry) ending on an accented beat or syllable"	"`annoy rhyme cadence enjoy masculine"			
"hollow"	"not solid; having a space or gap or cavity"	"face year cheek hollow tree wall"			
"hollow"	"as if echoing in a hollow space"	"ballroom sound footstep"			
"hollow"	"devoid of significance or point"	"comment victory promise"			
"lost"	"no longer in your possession or control; unable to be found or recovered"	"child book friend opportunity"			
"lost"	"having lost your bearings; confused as to time or place or personal identity"	"subway"			
"lost"	"spiritually or physically doomed or destroyed"	"ship generation platoon soul"			
"lost"	"not gained or won"	"prize battle"			
"lost"	"incapable of being recovered or regained"	"honor"			
"lost"	"not caught with the senses or the mind"	"din word"			
"lost"	"deeply absorbed in thought"	"class freshman frown prattling thought professor"			
"lost"	"perplexed by many conflicting situations or statements; filled with bewilderment"	"cloudy philosopher question kid school day"			
"lost"	"unable to function; without help"				
"inverted"	"being in such a position that top and bottom are reversed"	"mark quotation comma cake"			
"inverted"	"(of a plant ovule) completely inverted; turned back 180 degrees on its stalk"				
"sick"	"affected by an impairment of normal physical or mental function"	"suffering monotony ill"			
"sick"	"feeling nausea; feeling about to vomit"				
"sick"	"affected with madness or insanity"	"man"			
"sick"	"having a strong distaste from surfeit"	"death noise complaint gossip smoke flattery sick"			
"sick"	"(of light) lacking in intensity or brightness; dim or feeble"	"pale moon street track afternoon sky light star wan half dawn oblong el sun"			
"sick"	"deeply affected by a strong feeling"	"sat envy longing"			
"sick"	"shockingly repellent; inspiring horror"	"sacrifice madman task victim bombing age tale murder macabre torture Middle plague evidence wound aftermath war"			
"operating"	"involved in a kind of operation"	"oxidation pond operating condition"			
"operating"	"being in effect or operation"	"bus service apartheid nation division `new Leslie Silko emergency company Marmon operating operation"			
"mature"	"characteristic of maturity"	"mature age"			
"mature"	"fully considered and perfected"	"mature plan"			
"mature"	"having reached full natural growth or development"	"mature cell"			
"mature"	"fully developed or matured and ready to be eaten or used"	"mature peach ripe wine"			
"mature"	"(of birds) having developed feathers or plumage; often used in combination"				
"deaf"	"lacking or deprived of the sense of hearing wholly or in part"				
"deaf"	"(usually followed by `to') unwilling or refusing to pay heed"	"deaf warning"			
"senior"	"older; higher in rank; longer in length of tenure or service"	"officer"			
"senior"	"used of the fourth and final year in United States high school or college"	"prom"			
"senior"	"advanced in years; (`aged' is pronounced as two syllables)"	"member resident skyscraper construction citizen society"			
"inbred"	"produced by inbreeding"				
"inbred"	"normally existing at birth"	"mankind sense"			
"technical"	"of or relating to technique or proficiency in a practical skill"	"dancing dazzle brushwork innovation"			
"technical"	"characterizing or showing skill in or specialized knowledge of applied arts and sciences"	"people training matter A-bomb challenge language public country problem report"			
"technical"	"of or relating to a practical subject that is organized according to scientific principles"	"development college"			
"technical"	"of or relating to or requiring special knowledge to be understood"	"report terminology language"			
"technical"	"resulting from or dependent on market factors rather than fundamental economic considerations"	"fall analyst stock correction rally market"			
"farsighted"	"able to see distant objects clearly"				
"farsighted"	"planning prudently for the future"	"policy issue goal view"			
"sad"	"experiencing or showing sorrow or unhappiness"	"Christina Than dog Better sad Rossetti"			
"sad"	"of things that make you feel sad"	"Christina Sing song movie news story Rossetti"			
"sad"	"bad; unfortunate"	"shape clothes finance state decision affair"			
"net"	"remaining after all deductions"	"profit"			
"net"	"conclusive in a process or progression"	"answer resort result"			
"secure"	"free from fear or doubt; easy in mind"	"secure nothing"			
"secure"	"free from danger or risk"	"secure fortune place field harm"			
"secure"	"not likely to fail or give way"	"lock secure wrist foundation hold"			
"secure"	"immune to attack; incapable of being tampered with"	"secure fortress telephone connection frontier fortification"			
"secure"	"financially sound"	"secure investment"			
"correct"	"free from error; especially conforming to fact or truth"	"version road correct answer decision right"			
"correct"	"socially right or correct"	"party goodbye behavior"			
"correct"	"in accord with accepted standards of usage or procedure"	"oyster word way"			
"correct"	"correct in opinion or judgment"	"time"			
"respectable"	"characterized by socially or conventionally acceptable morals"	"woman"			
"respectable"	"deserving of esteem and respect"	"family company guarantee name"			
"respectable"	"large in amount or extent or degree"	"bonus fortune money amount tidy sum"			
"closer"	"at or within a short distance in space or time or having elements near each other"	"town ship formation noon"			
"closer"	"close in relevance or relationship"	"family resemblance sympathy kin"			
"closer"	"not far distant in time or space or degree or circumstances"	"tear future approach neighbor success thing bomb call equal hit"			
"closer"	"rigorously attentive; strict and thorough"	"watch expenditure study attention supervision close"			
"closer"	"marked by fidelity to an original"	"translation rendering fact copy portrait"			
"closer"	"(of a contest or contestants) evenly matched"	"game contest election"			
"closer"	"crowded"	"quarter"			
"closer"	"lacking fresh air"	"smoke atmosphere air airless"			
"closer"	"of textiles"	"weave close percale"			
"closer"	"strictly confined or guarded"	"custody"			
"closer"	"confined to specific persons"	"secret close"			
"closer"	"fitting closely but comfortably"	"fit"			
"closer"	"used of hair or haircuts"	"haircut"			
"closer"	"giving or spending with reluctance"	"man administration money"			
"closer"	"inclined to secrecy or reticence about divulging information"	"friend"			
"stupid"	"lacking or marked by lack of intellectual acuity"				
"stupid"	"in a state of mental numbness especially as resulting from shock"	"face lay blow expression fatigue"			
"stupid"	"lacking intelligence"	"job co-worker"			
"negative"	"characterized by or displaying negation or denial or opposition or resistance; having no positive features"	"colorless outlook campaign life personality advertising evaluation reaction"			
"negative"	"expressing or consisting of a negation or refusal or denial"				
"negative"	"having the quality of something harmful or unpleasant"	"delinquent outlook campaign life"			
"negative"	"not indicating the presence of microorganisms or disease or a specific condition"	"test HIV"			
"negative"	"reckoned in a direction opposite to that regarded as positive"	"interest rate"			
"negative"	"less than zero"	"number"			
"negative"	"designed or tending to discredit"	" especially without positive or helpful suggestions"	"criticism"		
"negative"	"having a negative charge"	"electron"			
"negative"	"involving disadvantage or harm"	"minus factor"			
"intelligent"	"having the capacity for thought and reason especially to a high degree"	"question universe life"			
"intelligent"	"possessing sound knowledge"	"reader"			
"intelligent"	"exercising or showing good judgment"	"labor explanation advice management approach fear scepticism relation sound rattlesnake decision problem law attitude solution"			
"intelligent"	"endowed with the capacity to reason"				
"rising"	"advancing or becoming higher or greater in degree or value or status"	"trend market"			
"rising"	"sloping upward"				
"rising"	"coming to maturity"	"generation"			
"rising"	"newly come into prominence"	"politician"			
"foul"	"highly offensive; arousing aversion or disgust"	"meat stench language smell disease disgusting idea food"			
"foul"	"offensively malodorous"	"kitchen odor foul"			
"foul"	"violating accepted standards or rules"	"power behavior dirty serve fighter foul unsporting"			
"foul"	"(of a baseball) not hit between the foul lines"				
"foul"	"(of a manuscript) defaced with changes"	"foul dirty copy"			
"foul"	"characterized by obscenity"	"mouth joke language"			
"foul"	"disgustingly dirty; filled or smeared with offensive matter"	"pigsty room pond"			
"foul"	"especially of a ship's lines etc"	"sail foul afoul anchor"			
"fit"	"meeting adequate standards for a purpose"	"duty discussion subject water fit"			
"fit"	"(usually followed by `to' or `for') on the point of or strongly disposed"	"time fight state fit"			
"fit"	"physically and mentally sound or healthy"	"holiday felt keep relaxed exercise fit"			
"raw"	"(used especially of commodities) being unprocessed or manufactured using only simple or minimal processes"	"sugar wool bale yogurt produce cotton"			
"raw"	"having the surface exposed and painful"	"wound"			
"raw"	"not treated with heat to prepare it for eating"				
"raw"	"not processed or refined"	"sewage"			
"raw"	"devoid of elaboration or diminution or concealment; bare and pure"	"someone power fury ambition"			
"raw"	"brutally unfair or harsh"	"deal friend treatment"			
"raw"	"not processed or subjected to analysis"	"cost crude data statistic production"			
"raw"	"untempered and unrefined"	"talent beauty"			
"raw"	"hurting"	"spot jaw tender"			
"raw"	"unpleasantly cold and damp"	"North Atlantic wind"			
"raw"	"used of wood and furniture"	"wood"			
"raw"	"lacking training or experience"	"men recruit"			
"raw"	"(used informally) completely unclothed"				
"distinct"	"(often followed by `from') not alike; different in nature or quality"	"beech iron interest management type `nationalism European gold sens tree plant word employee"			
"distinct"	"easy to perceive; especially clearly outlined"	"outline odor silhouette fingerprint flavor turpentine ship"			
"distinct"	"constituting a separate entity or part"	"division occasion government"			
"distinct"	"recognizable; marked"	"disadvantage improvement"			
"distinct"	"clearly or sharply defined to the mind"	"intention Britain conquest right Claudius evidence distinction"			
"defensive"	"intended or appropriate for defending against or deterring aggression or attack"	"stance weapon"			
"defensive"	"attempting to justify or defend in speech or writing"				
"planned"	"designed or carried out according to a plan"	"equipment outlay"			
"planned"	"planned in advance"	"aforethought malice"			
"unarmed"	"(used of persons or the military) not having or using arms"	"vehicle peasant"			
"unarmed"	"(used of plants or animals) lacking barbs or stings or thorns"				
"continuous"	"continuing in time or space without interruption"	"result Monday week line electron Friday atom illness Jeans fear month rearrangement break row work gap holiday emission light James warehouse bout"			
"continuous"	"of a function or curve; extending without break or irregularity"				
"organic"	"relating or belonging to the class of chemical compounds having a carbon basis"	"hydrocarbon compound"			
"organic"	"being or relating to or derived from or having properties characteristic of living organisms"	"life growth rock"			
"organic"	"involving or affecting physiology or bodily organs"	"disease"			
"organic"	"of or relating to foodstuff grown or raised without synthetic fertilizers or pesticides or hormones"	"chicken egg vegetable"			
"organic"	"simple and healthful and close to nature"	"lifestyle"			
"organic"	"constitutional in the structure of something (especially your physical makeup)"				
"constant"	"unvarying in nature"	"principle temperature validity"			
"constant"	"steadfast in purpose or devotion or affection"	"adherence man constant ideal star lover"			
"constant"	"uninterrupted in time and indefinitely long continuing"	"surf night pain happiness thunder noise struggle standard democracy demand drought hunger man isolation search day warfare ceaseless city"			
"natural"	"in accordance with nature; relating to or concerning nature"	"environment cliff science resource phenomenon development"			
"natural"	"existing in or produced by nature; not artificial or imitation"	"pearl hair gas silk sweetener blonde fertilizer"			
"natural"	"existing in or in conformity with nature or the observable world; neither supernatural nor magical"	"explanation"			
"natural"	"functioning or occurring in a normal way; lacking abnormalities or deficiencies"	"grandchild grandparent thing affection immunity"			
"natural"	"(of a musical note) being neither raised nor lowered by one chromatic semitone"	"scale B"			
"natural"	"unthinking; prompted by (or as if by) instinct"	"breathing aversion cat water offering"			
"natural"	"(used especially of commodities) being unprocessed or manufactured using only simple or minimal processes"	"sugar wool bale yogurt produce cotton"			
"natural"	"related by blood; not adopted"				
"natural"	"being talented through inherited qualities"	"talent innate leader musician"			
"natural"	"free from artificiality"	"reaction pose lifelike"			
"skeletal"	"of or relating to or forming or attached to a skeleton"	"system bone skeletal muscle"			
"skeletal"	"very thin especially from disease or hunger or cold"	"population hand concentration bony gaunt life men frame eye boy"			
"hostile"	"characterized by enmity or ill will"	"remark nation action"			
"hostile"	"not belonging to your own country's forces or those of an ally"	"naval force air"			
"hostile"	"impossible to bring into friendly accord"	"faction"			
"hostile"	"very unfavorable to life or growth"	"climate environment altitude atmosphere soil"			
"hostile"	"unsolicited and resisted by the management of the target company ( used of attempts to buy or take control of a business)"	"bid takeover offer tender"			
"angry"	"feeling or showing anger"	"letter customer silence weather paper"			
"angry"	"(of the elements) as if showing violent anger"	"sea wind horizon cloud"			
"angry"	"severely inflamed and painful"	"sore"			
"bottom"	"situated at the bottom or lowest position"	"bottom drawer"			
"bottom"	"the lowest rank"	"member class"			
"lean"	"lacking excess flesh"	"Cassius look -Shakespeare Yon"			
"lean"	"lacking in mineral content or combustible material"	"ore fuel"			
"lean"	"containing little excess"	"budget allowance"			
"lean"	"not profitable or prosperous"	"year"			
"wiry"	"lean and sinewy"				
"wiry"	"of or relating to wire"				
"wiry"	"of hair that resembles wire in stiffness"	"wiry hair"			
"rough"	"having or caused by an irregular surface"	"face blanket tree rough bark ground skin"			
"rough"	"(of persons or behavior) lacking refinement or finesse"	"manner rough diamond"			
"rough"	"not quite exact or correct"	"o'clock time guess estimate ballpark"			
"rough"	"full of hardship or trials"	"road time success"			
"rough"	"violently agitated and turbulent"	"Pound thunder Ezra wave sea weather music wind"			
"rough"	"unpleasantly harsh or grating in sound"	"voice"			
"rough"	"ready and able to resort to force or violence"	"Herman spirit men disturbance prospect Melville"			
"rough"	"of the margin of a leaf shape; having the edge cut or fringed or scalloped"				
"rough"	"causing or characterized by jolts and irregular movements"	"ride"			
"rough"	"not shaped by cutting or trimming"	"gemstone diamond"			
"rough"	"not carefully or expertly made"	"splint cabin carpentry log bark crude"			
"rough"	"not perfected"	"draft sketch"			
"rough"	"unpleasantly stern"	"country life cactus sand"			
"rough"	"unkind or cruel or uncivil"	"harsh tyrant answer word"			
"qualified"	"meeting the proper standards and requirements and training for an office or position or task"	"job applicant"			
"qualified"	"limited or restricted; not absolute"	"approval"			
"qualified"	"holding appropriate documentation and officially on record as qualified to perform a specified function or practice a specified skill"	"pharmacist hospital"			
"qualified"	"restricted in meaning; (as e.g. `man' in `a tall man')"				
"qualified"	"contingent on something else"				
"pompous"	"puffed up with vanity"	"hooey Newsweek manner gobbledygook grandiloquent oratory speech"			
"pompous"	"characterized by pomp and ceremony and stately display"				
"restless"	"worried and uneasy"				
"restless"	"ceaselessly in motion"	"restless wind sea"			
"restless"	"lacking or not affording physical or mental rest"	"restless night sleep"			
"sharp"	"(of something seen or heard) clearly defined"	"crisp snap crack image twig leaf"			
"sharp"	"ending in a sharp point"				
"sharp"	"having or demonstrating ability to recognize or draw fine distinctions"	"icy observation observer politician stroke comment knifelike politics insight fang"			
"sharp"	"marked by practical hardheaded intelligence"	"road lease overthrow businessman tenant print"			
"sharp"	"harsh"	"remark criticism exchange tart"			
"sharp"	"having or emitting a high-pitched and sharp tone or tones"	"shrill gaiety whistle"			
"sharp"	"extremely steep"	"rapid painting river drop hill canyon"			
"sharp"	"keenly and painfully felt; as if caused by a sharp edge or point"	"pain wind"			
"sharp"	"having or made by a thin edge or sharp point; suitable for cutting or piercing"	"knife point pencil"			
"sharp"	"(of a musical note) raised in pitch by one chromatic semitone"	"C"			
"sharp"	"very sudden and in great amount or degree"	"stock drop market"			
"sharp"	"quick and forceful"	"blow"			
"fixed"	"(of a number) having a fixed and unchanging value"				
"fixed"	"fixed and unmoving"	"face pain hollow O'Brien stare look Connor eye Cruise glassy"			
"fixed"	"securely placed or fastened or set"	"piece wood resistor"			
"fixed"	"incapable of being changed or moved or undone; e.g. ""frozen prices"""	"income"			
"smart"	"showing mental alertness and calculation and resourcefulness"				
"smart"	"elegant and stylish"	"dress suit cut elegance"			
"smart"	"characterized by quickness and ease in learning"	"child subject average brighter talk"			
"smart"	"improperly forward or bold"	"stranger child grownup impertinent boy"			
"smart"	"painfully severe"	"blow dog"			
"smart"	"quick and brisk"	"pace salute"			
"smart"	"capable of independent and apparently intelligent action"	"weapon"			
"junior"	"younger; lower in rank; shorter in length of tenure or service"				
"junior"	"used of the third or next to final year in United States high school or college"	"student class"			
"junior"	"including or intended for youthful persons"	"fashion sport league"			
